,Sentence,Tagged_Sentence
0,nak coin oii,"[('nak', 'AUX'), ('coin', 'NOUN'), ('oii', 'X')]"
1,Package-very thin bubble wrap,"[('package-very', 'NOUN'), ('thin', 'ADJ'), ('bubble', 'NOUN'), ('wrap', 'NOUN')]"
2,Kaki saiz 38 tpi tngok ukuran kena amik saiz 42,"[('kaki', 'NOUN'), ('saiz', 'X'), ('38', 'NUM'), ('tpi', 'CCONJ'), ('tngok', 'VERB'), ('ukuran', 'NOUN'), ('kena', 'VERB'), ('amik', 'X'), ('saiz', 'X'), ('42', 'NUM')]"
3,Tapi ingat kan dapat yg unicorn mcm dlm gambar tapi doreamon yg dapat satu je pulak tu ingatkan satu box huhuhu takpela mungkin sy salah faham,"[('tapi', 'X'), ('ingat', 'ADV'), ('kan', 'VERB'), ('dapat', 'VERB'), ('yg', 'X'), ('unicorn', 'X'), ('mcm', 'X'), ('dlm', 'X'), ('gambar', 'NOUN'), ('tapi', 'CCONJ'), ('doreamon', 'NOUN'), ('yg', 'X'), ('dapat', 'VERB'), ('satu', 'X'), ('je', 'X'), ('pulak', 'ADV'), ('tu', 'X'), ('ingatkan', 'VERB'), ('satu', 'NUM'), ('box', 'NOUN'), ('huhuhu', 'X'), ('takpela', 'X'), ('mungkin', 'X'), ('sy', 'X'), ('salah', 'ADJ'), ('faham', 'NOUN')]"
4,2 warne seakan sme,"[('2', 'NUM'), ('warne', 'NOUN'), ('seakan', 'VERB'), ('sme', 'ADJ')]"
5,Selebihnya kita menggunakan khidmat pemain sedia ada dan membawa masuk empat pemain daripada TFC II bagi memantapkan lagi pasukan,"[('selebihnya', 'ADJ'), ('kita', 'NOUN'), ('menggunakan', 'VERB'), ('khidmat', 'ADJ'), ('pemain', 'NOUN'), ('sedia', 'NOUN'), ('ada', 'VERB'), ('dan', 'CCONJ'), ('membawa', 'ADJ'), ('masuk', 'NOUN'), ('empat', 'ADJ'), ('pemain', 'NOUN'), ('daripada', 'X'), ('tfc', 'X'), ('ii', 'X'), ('bagi', 'NOUN'), ('memantapkan', 'VERB'), ('lagi', 'ADV'), ('pasukan', 'VERB')]"
6,Cari Album gambar,"[('cari', 'X'), ('album', 'X'), ('gambar', 'NOUN')]"
7,Very recommended pada yang nak pakai untuk short term,"[('very', 'ADV'), ('recommended', 'VERB'), ('pada', 'ADV'), ('yang', 'SCONJ'), ('nak', 'AUX'), ('pakai', 'VERB'), ('untuk', 'ADP'), ('short', 'ADJ'), ('term', 'NOUN')]"
8,If u need pls rmb to request,"[('if', 'ADP'), ('u', 'PRON'), ('need', 'VERB'), ('pls', 'NOUN'), ('rmb', 'NOUN'), ('to', 'PART'), ('request', 'VERB')]"
9,Perhaps we need to hold a fundraising campaign,"[('perhaps', 'ADV'), ('we', 'PRON'), ('need', 'VERB'), ('to', 'AUX'), ('hold', 'VERB'), ('a', 'DET'), ('fundraising', 'ADJ'), ('campaign', 'NOUN')]"
10,"TOKYO (Reuters) - Japan's Chief Cabinet Secretary Yoshihide Suga, a frontrunner to become next prime minister, said on Wednesday that strong economic growth is necessary to pursue fiscal reform","[('tokyo', 'NOUN'), ('(', 'PUNCT'), ('reuters', 'NOUN'), (')', 'PUNCT'), ('-', 'PUNCT'), ('japan', 'NOUN'), (""'s"", 'PART'), ('chief', 'NOUN'), ('cabinet', 'NOUN'), ('secretary', 'ADJ'), ('yoshihide', 'NOUN'), ('suga', 'NOUN'), (',', 'PUNCT'), ('a', 'DET'), ('frontrunner', 'NOUN'), ('to', 'PART'), ('become', 'VERB'), ('next', 'ADJ'), ('prime', 'NOUN'), ('minister', 'NOUN'), (',', 'PUNCT'), ('said', 'VERB'), ('on', 'ADP'), ('wednesday', 'NOUN'), ('that', 'ADP'), ('strong', 'ADJ'), ('economic', 'ADJ'), ('growth', 'NOUN'), ('is', 'VERB'), ('necessary', 'ADJ'), ('to', 'PART'), ('pursue', 'VERB'), ('fiscal', 'ADJ'), ('reform', 'NOUN')]"
11,fast delivery & the packaging are so good + thank you for the free gift!,"[('fast', 'ADJ'), ('delivery', 'NOUN'), ('&', 'CCONJ'), ('the', 'DET'), ('packaging', 'NOUN'), ('are', 'VERB'), ('so', 'ADV'), ('good', 'ADJ'), ('+', 'PUNCT'), ('thank', 'VERB'), ('you', 'PRON'), ('for', 'ADP'), ('the', 'DET'), ('free', 'ADJ'), ('gift', 'NOUN'), ('!', 'PUNCT')]"
12,"Selected Tesla drivers have been beta testing the software on public roads, a practice that critics say endangers others because the software has flaws and the drivers are untrained","[('selected', 'VERB'), ('tesla', 'ADJ'), ('drivers', 'NOUN'), ('have', 'VERB'), ('been', 'VERB'), ('beta', 'ADV'), ('testing', 'VERB'), ('the', 'DET'), ('software', 'NOUN'), ('on', 'ADP'), ('public', 'ADJ'), ('roads', 'NOUN'), (',', 'PUNCT'), ('a', 'DET'), ('practice', 'NOUN'), ('that', 'ADP'), ('critics', 'NOUN'), ('say', 'VERB'), ('endangers', 'NOUN'), ('others', 'NOUN'), ('because', 'ADP'), ('the', 'DET'), ('software', 'NOUN'), ('has', 'VERB'), ('flaws', 'NOUN'), ('and', 'CCONJ'), ('the', 'DET'), ('drivers', 'NOUN'), ('are', 'VERB'), ('untrained', 'VERB')]"
13,"penjual yang baik ,","[('penjual', 'NOUN'), ('yang', 'PART'), ('baik', 'ADJ'), (',', 'PUNCT')]"
14,"tq n baju agak labuh, lengan sgt lebar","[('tq', 'X'), ('n', 'X'), ('baju', 'NOUN'), ('agak', 'ADV'), ('labuh', 'ADJ'), (',', 'PUNCT'), ('lengan', 'VERB'), ('sgt', 'X'), ('lebar', 'ADJ')]"
15,Setakat ni xde apa2 kerosakan lg,"[('setakat', 'VERB'), ('ni', 'X'), ('xde', 'X'), ('apa2', 'X'), ('kerosakan', 'VERB'), ('lg', 'X')]"
16,"Bau mcm ok,","[('bau', 'X'), ('mcm', 'X'), ('ok', 'ADJ'), (',', 'PUNCT')]"
17,"Trusted seller 6 kali repeat beli,","[('trusted', 'VERB'), ('seller', 'NOUN'), ('6', 'NUM'), ('kali', 'NOUN'), ('repeat', 'VERB'), ('beli', 'VERB'), (',', 'PUNCT')]"
18,"yg ini set empty, so x de lagi dlm isinya nnti kena beli","[('yg', 'X'), ('ini', 'PRON'), ('set', 'VERB'), ('empty', 'NOUN'), (',', 'PUNCT'), ('so', 'ADV'), ('x', 'X'), ('de', 'X'), ('lagi', 'ADV'), ('dlm', 'X'), ('isinya', 'VERB'), ('nnti', 'X'), ('kena', 'VERB'), ('beli', 'VERB')]"
19,"Penghantaran cepat , packaging baik Maggie tk hancur","[('penghantaran', 'NOUN'), ('cepat', 'ADJ'), (',', 'PUNCT'), ('packaging', 'NOUN'), ('baik', 'ADJ'), ('maggie', 'NOUN'), ('tk', 'X'), ('hancur', 'X')]"
20,Untuk rumah yang kecil sangat2 sesuai la ye,"[('untuk', 'ADP'), ('rumah', 'NOUN'), ('yang', 'PART'), ('kecil', 'NOUN'), ('sangat2', 'X'), ('sesuai', 'ADJ'), ('la', 'INTJ'), ('ye', 'INTJ')]"
21,Die pun suka,"[('die', 'VERB'), ('pun', 'ADV'), ('suka', 'VERB')]"
22,repeat lagi sbb de perubahan terbaikkk,"[('repeat', 'VERB'), ('lagi', 'ADV'), ('sbb', 'VERB'), ('de', 'X'), ('perubahan', 'X'), ('terbaikkk', 'X')]"
23,The packaging of product is in order,"[('the', 'DET'), ('packaging', 'NOUN'), ('of', 'ADP'), ('product', 'NOUN'), ('is', 'VERB'), ('in', 'ADP'), ('order', 'NOUN')]"
24,the colour also match as the pic that was provided by the seller !,"[('the', 'DET'), ('colour', 'NOUN'), ('also', 'ADV'), ('match', 'VERB'), ('as', 'ADP'), ('the', 'DET'), ('pic', 'NOUN'), ('that', 'ADP'), ('was', 'VERB'), ('provided', 'VERB'), ('by', 'ADP'), ('the', 'DET'), ('seller', 'NOUN'), ('!', 'PUNCT')]"
25,5GOODrekeman belizan,"[('5goodrekeman', 'NOUN'), ('belizan', 'VERB')]"
26,Charger Spoild,"[('charger', 'NOUN'), ('spoild', 'VERB')]"
27,Super Pretty & easy to apply,"[('super', 'ADV'), ('pretty', 'ADV'), ('&', 'PUNCT'), ('easy', 'ADJ'), ('to', 'PART'), ('apply', 'VERB')]"
28,sesuai untuk budak budak sebab tempat pengang dia kecik,"[('sesuai', 'ADJ'), ('untuk', 'ADP'), ('budak', 'NOUN'), ('budak', 'NOUN'), ('sebab', 'ADV'), ('tempat', 'ADJ'), ('pengang', 'NOUN'), ('dia', 'PRON'), ('kecik', 'ADJ')]"
29,It's totally worth it,"[('it', 'PRON'), (""'s"", 'VERB'), ('totally', 'ADV'), ('worth', 'ADJ'), ('it', 'PRON')]"
30,"The item has arrived safely, it's very good, the item is as expected","[('the', 'DET'), ('item', 'NOUN'), ('has', 'VERB'), ('arrived', 'VERB'), ('safely', 'ADV'), (',', 'PUNCT'), ('it', 'PRON'), (""'s"", 'VERB'), ('very', 'ADV'), ('good', 'ADJ'), (',', 'PUNCT'), ('the', 'DET'), ('item', 'NOUN'), ('is', 'VERB'), ('as', 'ADP'), ('expected', 'VERB')]"
31,tq seller mmg urgent nk gune,"[('tq', 'X'), ('seller', 'NOUN'), ('mmg', 'X'), ('urgent', 'ADV'), ('nk', 'X'), ('gune', 'NOUN')]"
32,So easy to shop!,"[('so', 'ADV'), ('easy', 'ADJ'), ('to', 'PART'), ('shop', 'NOUN'), ('!', 'PUNCT')]"
33,Buat hadiah utk family Day nanti,"[('buat', 'NOUN'), ('hadiah', 'VERB'), ('utk', 'X'), ('family', 'NOUN'), ('day', 'NOUN'), ('nanti', 'X')]"
34,Tapi baru cuci sekali leher dah kembang,"[('tapi', 'X'), ('baru', 'ADJ'), ('cuci', 'ADJ'), ('sekali', 'NOUN'), ('leher', 'ADV'), ('dah', 'ADV'), ('kembang', 'VERB')]"
35,Legging untuk kakak dah sampai,"[('legging', 'VERB'), ('untuk', 'ADP'), ('kakak', 'NOUN'), ('dah', 'ADV'), ('sampai', 'VERB')]"
36,seller n courier lambat,"[('seller', 'NOUN'), ('n', 'X'), ('courier', 'NOUN'), ('lambat', 'ADJ')]"
37,"barang diterima seperti dalam gambar, cantik dan menarik, terima kasih, rasa nk order lg","[('barang', 'NOUN'), ('diterima', 'VERB'), ('seperti', 'ADJ'), ('dalam', 'ADP'), ('gambar', 'NOUN'), (',', 'PUNCT'), ('cantik', 'ADJ'), ('dan', 'CCONJ'), ('menarik', 'ADJ'), (',', 'PUNCT'), ('terima', 'VERB'), ('kasih', 'NOUN'), (',', 'PUNCT'), ('rasa', 'NOUN'), ('nk', 'X'), ('order', 'VERB'), ('lg', 'X')]"
38,"Besar puas hati murah,","[('besar', 'ADJ'), ('puas', 'ADJ'), ('hati', 'NOUN'), ('murah', 'ADJ'), (',', 'PUNCT')]"
39,42mil a year ago,"[('42mil', 'NOUN'), ('a', 'DET'), ('year', 'NOUN'), ('ago', 'ADV')]"
40,N semua cantik2,"[('n', 'X'), ('semua', 'DET'), ('cantik2', 'X')]"
