,Sentence,Tagged_Sentence
0,nak coin oii,"[('nak', 'VERB'), ('coin', 'NOUN'), ('oii', 'INTJ')]"
1,Package-very thin bubble wrap,"[('package-very', 'NOUN'), ('thin', 'ADJ'), ('bubble', 'NOUN'), ('wrap', 'NOUN')]"
2,Kaki saiz 38 tpi tngok ukuran kena amik saiz 42,"[('kaki', 'NOUN'), ('saiz', 'ADJ'), ('38', 'NUM'), ('tpi', 'X'), ('tngok', 'VERB'), ('ukuran', 'NOUN'), ('kena', 'VERB'), ('amik', 'VERB'), ('saiz', 'NOUN'), ('42', 'NUM')]"
3,Tapi ingat kan dapat yg unicorn mcm dlm gambar tapi doreamon yg dapat satu je pulak tu ingatkan satu box huhuhu takpela mungkin sy salah faham,"[('tapi', 'CCONJ'), ('ingat', 'NOUN'), ('kan', 'VERB'), ('dapat', 'VERB'), ('yg', 'DET'), ('unicorn', 'NOUN'), ('mcm', 'CCONJ'), ('dlm', 'ADP'), ('gambar', 'NOUN'), ('tapi', 'CCONJ'), ('doreamon', 'NOUN'), ('yg', 'X'), ('dapat', 'VERB'), ('satu', 'NUM'), ('je', 'ADV'), ('pulak', 'ADV'), ('tu', 'PRON'), ('ingatkan', 'NOUN'), ('satu', 'NUM'), ('box', 'NOUN'), ('huhuhu', 'INTJ'), ('takpela', 'CCONJ'), ('mungkin', 'ADV'), ('sy', 'X'), ('salah', 'ADJ'), ('faham', 'NOUN')]"
4,2 warne seakan sme,"[('2', 'NUM'), ('warne', 'NOUN'), ('seakan', 'ADJ'), ('sme', 'CCONJ')]"
5,Selebihnya kita menggunakan khidmat pemain sedia ada dan membawa masuk empat pemain daripada TFC II bagi memantapkan lagi pasukan,"[('selebihnya', 'NOUN'), ('kita', 'PRON'), ('menggunakan', 'VERB'), ('khidmat', 'NOUN'), ('pemain', 'NOUN'), ('sedia', 'ADJ'), ('ada', 'ADJ'), ('dan', 'CCONJ'), ('membawa', 'VERB'), ('masuk', 'ADV'), ('empat', 'NUM'), ('pemain', 'NOUN'), ('daripada', 'ADP'), ('tfc', 'NOUN'), ('ii', 'X'), ('bagi', 'VERB'), ('memantapkan', 'VERB'), ('lagi', 'ADV'), ('pasukan', 'VERB')]"
6,Cari Album gambar,"[('cari', 'VERB'), ('album', 'NOUN'), ('gambar', 'NOUN')]"
7,Very recommended pada yang nak pakai untuk short term,"[('very', 'ADV'), ('recommended', 'VERB'), ('pada', 'ADP'), ('yang', 'PRON'), ('nak', 'VERB'), ('pakai', 'VERB'), ('untuk', 'ADP'), ('short', 'ADJ'), ('term', 'NOUN')]"
8,If u need pls rmb to request,"[('if', 'ADP'), ('u', 'PRON'), ('need', 'VERB'), ('pls', 'VERB'), ('rmb', 'VERB'), ('to', 'PART'), ('request', 'VERB')]"
9,Perhaps we need to hold a fundraising campaign,"[('perhaps', 'ADV'), ('we', 'PRON'), ('need', 'VERB'), ('to', 'ADP'), ('hold', 'VERB'), ('a', 'DET'), ('fundraising', 'NOUN'), ('campaign', 'NOUN')]"
10,"TOKYO (Reuters) - Japan's Chief Cabinet Secretary Yoshihide Suga, a frontrunner to become next prime minister, said on Wednesday that strong economic growth is necessary to pursue fiscal reform","[('tokyo', 'NOUN'), ('(', 'PUNCT'), ('reuters', 'NOUN'), (')', 'PUNCT'), ('-', 'PUNCT'), ('japan', 'NOUN'), (""'s"", 'PART'), ('chief', 'NOUN'), ('cabinet', 'NOUN'), ('secretary', 'NOUN'), ('yoshihide', 'ADP'), ('suga', 'NOUN'), (',', 'PUNCT'), ('a', 'DET'), ('frontrunner', 'NOUN'), ('to', 'PART'), ('become', 'VERB'), ('next', 'ADJ'), ('prime', 'ADJ'), ('minister', 'NOUN'), (',', 'PUNCT'), ('said', 'VERB'), ('on', 'ADP'), ('wednesday', 'NOUN'), ('that', 'ADP'), ('strong', 'ADJ'), ('economic', 'ADJ'), ('growth', 'NOUN'), ('is', 'VERB'), ('necessary', 'ADJ'), ('to', 'PART'), ('pursue', 'VERB'), ('fiscal', 'ADJ'), ('reform', 'NOUN')]"
11,fast delivery & the packaging are so good + thank you for the free gift!,"[('fast', 'ADJ'), ('delivery', 'NOUN'), ('&', 'PUNCT'), ('the', 'DET'), ('packaging', 'NOUN'), ('are', 'VERB'), ('so', 'ADV'), ('good', 'ADJ'), ('+', 'SYM'), ('thank', 'VERB'), ('you', 'PRON'), ('for', 'ADP'), ('the', 'DET'), ('free', 'ADJ'), ('gift', 'NOUN'), ('!', 'PUNCT')]"
12,"Selected Tesla drivers have been beta testing the software on public roads, a practice that critics say endangers others because the software has flaws and the drivers are untrained","[('selected', 'VERB'), ('tesla', 'ADJ'), ('drivers', 'NOUN'), ('have', 'VERB'), ('been', 'VERB'), ('beta', 'NOUN'), ('testing', 'VERB'), ('the', 'DET'), ('software', 'NOUN'), ('on', 'ADP'), ('public', 'ADJ'), ('roads', 'NOUN'), (',', 'PUNCT'), ('a', 'DET'), ('practice', 'NOUN'), ('that', 'ADP'), ('critics', 'NOUN'), ('say', 'VERB'), ('endangers', 'VERB'), ('others', 'NOUN'), ('because', 'CCONJ'), ('the', 'DET'), ('software', 'NOUN'), ('has', 'VERB'), ('flaws', 'NOUN'), ('and', 'CCONJ'), ('the', 'DET'), ('drivers', 'NOUN'), ('are', 'VERB'), ('untrained', 'ADJ')]"
13,"penjual yang baik ,","[('penjual', 'NOUN'), ('yang', 'PART'), ('baik', 'ADJ'), (',', 'PUNCT')]"
14,"tq n baju agak labuh, lengan sgt lebar","[('tq', 'X'), ('n', 'X'), ('baju', 'NOUN'), ('agak', 'ADV'), ('labuh', 'ADJ'), (',', 'PUNCT'), ('lengan', 'NOUN'), ('sgt', 'ADV'), ('lebar', 'ADJ')]"
15,Setakat ni xde apa2 kerosakan lg,"[('setakat', 'VERB'), ('ni', 'PRON'), ('xde', 'ADV'), ('apa2', 'DET'), ('kerosakan', 'ADJ'), ('lg', 'X')]"
16,"Bau mcm ok,","[('bau', 'X'), ('mcm', 'X'), ('ok', 'ADJ'), (',', 'PUNCT')]"
17,"Trusted seller 6 kali repeat beli,","[('trusted', 'VERB'), ('seller', 'NOUN'), ('6', 'NUM'), ('kali', 'NOUN'), ('repeat', 'VERB'), ('beli', 'VERB'), (',', 'PUNCT')]"
18,"yg ini set empty, so x de lagi dlm isinya nnti kena beli","[('yg', 'X'), ('ini', 'PRON'), ('set', 'NOUN'), ('empty', 'ADJ'), (',', 'PUNCT'), ('so', 'ADV'), ('x', 'X'), ('de', 'VERB'), ('lagi', 'ADV'), ('dlm', 'ADP'), ('isinya', 'NOUN'), ('nnti', 'INTJ'), ('kena', 'VERB'), ('beli', 'VERB')]"
19,"Penghantaran cepat , packaging baik Maggie tk hancur","[('penghantaran', 'NOUN'), ('cepat', 'ADJ'), (',', 'PUNCT'), ('packaging', 'NOUN'), ('baik', 'ADJ'), ('maggie', 'NOUN'), ('tk', 'DET'), ('hancur', 'ADJ')]"
20,Untuk rumah yang kecil sangat2 sesuai la ye,"[('untuk', 'ADP'), ('rumah', 'NOUN'), ('yang', 'VERB'), ('kecil', 'ADJ'), ('sangat2', 'ADV'), ('sesuai', 'ADJ'), ('la', 'INTJ'), ('ye', 'INTJ')]"
21,Die pun suka,"[('die', 'VERB'), ('pun', 'ADV'), ('suka', 'VERB')]"
22,repeat lagi sbb de perubahan terbaikkk,"[('repeat', 'VERB'), ('lagi', 'ADV'), ('sbb', 'CCONJ'), ('de', 'PRON'), ('perubahan', 'VERB'), ('terbaikkk', 'ADJ')]"
23,The packaging of product is in order,"[('the', 'DET'), ('packaging', 'NOUN'), ('of', 'ADP'), ('product', 'NOUN'), ('is', 'VERB'), ('in', 'ADP'), ('order', 'NOUN')]"
24,the colour also match as the pic that was provided by the seller !,"[('the', 'DET'), ('colour', 'NOUN'), ('also', 'ADV'), ('match', 'VERB'), ('as', 'ADP'), ('the', 'DET'), ('pic', 'NOUN'), ('that', 'PRON'), ('was', 'VERB'), ('provided', 'VERB'), ('by', 'ADP'), ('the', 'DET'), ('seller', 'NOUN'), ('!', 'PUNCT')]"
25,5GOODrekeman belizan,"[('5goodrekeman', 'NOUN'), ('belizan', 'VERB')]"
26,Charger Spoild,"[('charger', 'NOUN'), ('spoild', 'NOUN')]"
27,Super Pretty & easy to apply,"[('super', 'ADV'), ('pretty', 'ADJ'), ('&', 'CCONJ'), ('easy', 'ADJ'), ('to', 'ADP'), ('apply', 'VERB')]"
28,sesuai untuk budak budak sebab tempat pengang dia kecik,"[('sesuai', 'ADJ'), ('untuk', 'ADP'), ('budak', 'NOUN'), ('budak', 'NOUN'), ('sebab', 'CCONJ'), ('tempat', 'ADV'), ('pengang', 'NOUN'), ('dia', 'PRON'), ('kecik', 'ADJ')]"
29,It's totally worth it,"[('it', 'PRON'), (""'s"", 'VERB'), ('totally', 'ADV'), ('worth', 'ADJ'), ('it', 'PRON')]"
30,"The item has arrived safely, it's very good, the item is as expected","[('the', 'DET'), ('item', 'NOUN'), ('has', 'VERB'), ('arrived', 'VERB'), ('safely', 'ADV'), (',', 'PUNCT'), ('it', 'PRON'), (""'s"", 'VERB'), ('very', 'ADV'), ('good', 'ADJ'), (',', 'PUNCT'), ('the', 'DET'), ('item', 'NOUN'), ('is', 'VERB'), ('as', 'ADP'), ('expected', 'VERB')]"
31,tq seller mmg urgent nk gune,"[('tq', 'X'), ('seller', 'NOUN'), ('mmg', 'ADV'), ('urgent', 'ADJ'), ('nk', 'X'), ('gune', 'VERB')]"
32,So easy to shop!,"[('so', 'ADV'), ('easy', 'ADJ'), ('to', 'ADP'), ('shop', 'NOUN'), ('!', 'PUNCT')]"
33,Buat hadiah utk family Day nanti,"[('buat', 'VERB'), ('hadiah', 'NOUN'), ('utk', 'ADP'), ('family', 'NOUN'), ('day', 'NOUN'), ('nanti', 'ADJ')]"
34,Tapi baru cuci sekali leher dah kembang,"[('tapi', 'CCONJ'), ('baru', 'ADV'), ('cuci', 'VERB'), ('sekali', 'ADJ'), ('leher', 'NOUN'), ('dah', 'ADV'), ('kembang', 'ADJ')]"
35,Legging untuk kakak dah sampai,"[('legging', 'NOUN'), ('untuk', 'ADP'), ('kakak', 'NOUN'), ('dah', 'ADV'), ('sampai', 'VERB')]"
36,seller n courier lambat,"[('seller', 'NOUN'), ('n', 'X'), ('courier', 'NOUN'), ('lambat', 'ADJ')]"
37,"barang diterima seperti dalam gambar, cantik dan menarik, terima kasih, rasa nk order lg","[('barang', 'NOUN'), ('diterima', 'VERB'), ('seperti', 'ADP'), ('dalam', 'ADP'), ('gambar', 'NOUN'), (',', 'PUNCT'), ('cantik', 'ADJ'), ('dan', 'CCONJ'), ('menarik', 'ADJ'), (',', 'PUNCT'), ('terima', 'VERB'), ('kasih', 'NOUN'), (',', 'PUNCT'), ('rasa', 'VERB'), ('nk', 'X'), ('order', 'VERB'), ('lg', 'X')]"
38,"Besar puas hati murah,","[('besar', 'ADJ'), ('puas', 'ADJ'), ('hati', 'NOUN'), ('murah', 'ADJ'), (',', 'PUNCT')]"
39,42mil a year ago,"[('42mil', 'NUM'), ('a', 'DET'), ('year', 'NOUN'), ('ago', 'ADV')]"
40,N semua cantik2,"[('n', 'X'), ('semua', 'DET'), ('cantik2', 'ADJ')]"
41,Excellent tq seller,"[('excellent', 'ADJ'), ('tq', 'X'), ('seller', 'NOUN')]"
42,delivery was a bit late since from china,"[('delivery', 'NOUN'), ('was', 'VERB'), ('a', 'DET'), ('bit', 'NOUN'), ('late', 'ADJ'), ('since', 'ADP'), ('from', 'ADP'), ('china', 'PROPN')]"
43,"thumps up for the price, quality , and services","[('thumps', 'NOUN'), ('up', 'ADP'), ('for', 'ADP'), ('the', 'DET'), ('price', 'NOUN'), (',', 'PUNCT'), ('quality', 'NOUN'), (',', 'PUNCT'), ('and', 'CCONJ'), ('services', 'NOUN')]"
44,Saya hanya menghafal skrip tanpa benar-benar memahami maksudnya,"[('saya', 'PRON'), ('hanya', 'ADV'), ('menghafal', 'VERB'), ('skrip', 'NOUN'), ('tanpa', 'CCONJ'), ('benar-benar', 'ADV'), ('memahami', 'VERB'), ('maksudnya', 'NOUN')]"
45,"kualiti kain ok la pdan dgn harga,harga sgt murah,penghantaran sgt laju","[('kualiti', 'NOUN'), ('kain', 'NOUN'), ('ok', 'ADJ'), ('la', 'INTJ'), ('pdan', 'NOUN'), ('dgn', 'X'), ('harga', 'NOUN'), (',', 'PUNCT'), ('harga', 'NOUN'), ('sgt', 'ADV'), ('murah', 'ADJ'), (',', 'PUNCT'), ('penghantaran', 'NOUN'), ('sgt', 'X'), ('laju', 'ADJ')]"
46,Thankkksss,"[('thankkksss', 'X')]"
47,Harga berbaloi dan Mikoe suka,"[('harga', 'NOUN'), ('berbaloi', 'ADJ'), ('dan', 'CCONJ'), ('mikoe', 'ADV'), ('suka', 'VERB')]"
48,Please offer more,"[('please', 'ADV'), ('offer', 'VERB'), ('more', 'ADV')]"
49,Really moisturising,"[('really', 'ADV'), ('moisturising', 'VERB')]"
50,"30 petang, sebelum mengadakan majlis resepsi di Klang, sebelah malam","[('30', 'NUM'), ('petang', 'NOUN'), (',', 'PUNCT'), ('sebelum', 'ADV'), ('mengadakan', 'VERB'), ('majlis', 'NOUN'), ('resepsi', 'NOUN'), ('di', 'ADP'), ('klang', 'NOUN'), (',', 'PUNCT'), ('sebelah', 'ADJ'), ('malam', 'NOUN')]"
51,"baju dah smpai , kain ok semua mantap","[('baju', 'NOUN'), ('dah', 'ADV'), ('smpai', 'VERB'), (',', 'PUNCT'), ('kain', 'NOUN'), ('ok', 'ADJ'), ('semua', 'ALL'), ('mantap', 'ADJ')]"
52,Yohohoho,"[('yohohoho', 'INTJ')]"
53,"Semua okey, tak tebal sangat, tak nipis sangat","[('semua', 'DET'), ('okey', 'ADJ'), (',', 'PUNCT'), ('tak', 'ADV'), ('tebal', 'ADJ'), ('sangat', 'ADV'), (',', 'PUNCT'), ('tak', 'ADV'), ('nipis', 'ADJ'), ('sangat', 'ADV')]"
54,"Bau dia betullah sangat2 segar, rasa seuai la nama dia bay side tree","[('bau', 'NOUN'), ('dia', 'PRON'), ('betullah', 'ADV'), ('sangat2', 'ADV'), ('segar', 'ADJ'), (',', 'PUNCT'), ('rasa', 'VERB'), ('seuai', 'ADJ'), ('la', 'INTJ'), ('nama', 'NOUN'), ('dia', 'PRON'), ('bay', 'PROPN'), ('side', 'PROPN'), ('tree', 'PROPN')]"
55,"Beg cantik dan bagus,","[('beg', 'VERB'), ('cantik', 'ADJ'), ('dan', 'CCONJ'), ('bagus', 'ADJ'), (',', 'PUNCT')]"
56,Just size memang besar even free size,"[('just', 'ADV'), ('size', 'NOUN'), ('memang', 'ADV'), ('besar', 'ADJ'), ('even', 'ADV'), ('free', 'ADJ'), ('size', 'NOUN')]"
57,And when i plug in earphone,"[('and', 'CCONJ'), ('when', 'X'), ('i', 'PRON'), ('plug', 'VERB'), ('in', 'ADP'), ('earphone', 'NOUN')]"
58,$MENTION$ Palkir adobe is king,"[('$', 'SYM'), ('mention', 'NOUN'), ('$', 'SYM'), ('palkir', 'NOUN'), ('adobe', 'NOUN'), ('is', 'VERB'), ('king', 'NOUN')]"
